107	274	1	Fall	2002	A+
107	304	1	Fall	2009	B
123	319	1	Spring	2003	A+
163	274	1	Fall	2002	A
163	304	1	Fall	2009	B-
1000	319	1	Spring	2003	B+
1018	274	1	Fall	2002	A+
1018	319	1	Spring	2003	C
1018	304	1	Fall	2009	B
1110	258	1	Fall	2007	C-
1110	313	1	Fall	2010	A-
1220	319	1	Spring	2003	B-
1232	304	1	Fall	2009	A+
1232	313	1	Fall	2010	B-
1285	319	1	Spring	2003	A
1285	258	1	Fall	2007	B
1285	304	1	Fall	2009	C-
1367	270	1	Spring	2010	C+
1402	274	1	Fall	2002	B-
1402	319	1	Spring	2003	C-
1460	258	1	Fall	2007	C-
1533	242	1	Fall	2009	A+
1533	270	1	Spring	2010	A+
1726	274	1	Fall	2002	A
1726	242	1	Fall	2009	A-
1726	313	1	Fall	2010	B+
1737	304	1	Fall	2009	B
1812	258	1	Fall	2007	A
1826	304	1	Fall	2009	A
1826	270	1	Spring	2010	C
1827	270	1	Spring	2010	C-
1954	242	1	Fall	2009	B-
1954	304	1	Fall	2009	C-
1954	270	1	Spring	2010	B-
1968	304	1	Fall	2009	C
1968	313	1	Fall	2010	A
10204	274	1	Fall	2002	B
10454	270	1	Spring	2010	B-
10481	319	1	Spring	2003	A+
10481	270	1	Spring	2010	A
10527	304	1	Fall	2009	A-
10705	258	1	Fall	2007	C-
10727	258	1	Fall	2007	B+
10814	313	1	Fall	2010	B
11057	270	1	Spring	2010	B+
11076	258	1	Fall	2007	A+
11095	304	1	Fall	2009	A+
11101	319	1	Spring	2003	B-
11126	304	1	Fall	2009	B+
11152	313	1	Fall	2010	C-
11195	258	1	Fall	2007	B+
11201	319	1	Spring	2003	B
11202	270	1	Spring	2010	A
11202	313	1	Fall	2010	C
11237	304	1	Fall	2009	C
11262	304	1	Fall	2009	C-
11262	270	1	Spring	2010	C+
11377	274	1	Fall	2002	C+
11419	304	1	Fall	2009	C-
11419	270	1	Spring	2010	A
11422	274	1	Fall	2002	A-
11453	274	1	Fall	2002	A
11510	274	1	Fall	2002	B+
11530	319	1	Spring	2003	C
11530	313	1	Fall	2010	B
11578	319	1	Spring	2003	B
11682	313	1	Fall	2010	A+
11855	274	1	Fall	2002	B+
11855	258	1	Fall	2007	A+
11855	270	1	Spring	2010	C-
11966	258	1	Fall	2007	B
12078	319	1	Spring	2003	C-
12214	304	1	Fall	2009	C+
12362	319	1	Spring	2003	A
12362	270	1	Spring	2010	C
12563	274	1	Fall	2002	B-
12666	313	1	Fall	2010	B-
12683	274	1	Fall	2002	B-
12683	319	1	Spring	2003	B-
12971	313	1	Fall	2010	C-
12979	258	1	Fall	2007	A
12979	242	1	Fall	2009	C
13081	274	1	Fall	2002	C+
13081	304	1	Fall	2009	C+
13081	313	1	Fall	2010	A-
13211	319	1	Spring	2003	A+
13211	242	1	Fall	2009	B+
13290	319	1	Spring	2003	B-
13290	304	1	Fall	2009	A+
13290	270	1	Spring	2010	C+
13365	274	1	Fall	2002	A-
13365	304	1	Fall	2009	C-
13403	319	1	Spring	2003	B
13403	258	1	Fall	2007	B
13408	319	1	Spring	2003	C-
13408	242	1	Fall	2009	C+
13408	304	1	Fall	2009	A+
13495	242	1	Fall	2009	B+
13506	242	1	Fall	2009	B+
13506	304	1	Fall	2009	C+
13741	242	1	Fall	2009	C
13749	258	1	Fall	2007	A-
13749	242	1	Fall	2009	B-
13749	304	1	Fall	2009	C
13826	274	1	Fall	2002	C
13921	274	1	Fall	2002	A
13921	313	1	Fall	2010	C
14023	242	1	Fall	2009	C-
14032	313	1	Fall	2010	A+
14094	274	1	Fall	2002	A-
14182	313	1	Fall	2010	A
14214	304	1	Fall	2009	B+
14214	270	1	Spring	2010	A+
14284	242	1	Fall	2009	B-
14284	313	1	Fall	2010	B-
14432	274	1	Fall	2002	C
14432	313	1	Fall	2010	A
14484	304	1	Fall	2009	B+
14499	242	1	Fall	2009	C
14554	274	1	Fall	2002	C
14554	304	1	Fall	2009	B-
14563	242	1	Fall	2009	C+
14563	313	1	Fall	2010	A-
14596	258	1	Fall	2007	A
14596	242	1	Fall	2009	C+
14596	304	1	Fall	2009	A+
14596	313	1	Fall	2010	C
